"id","study_id","read_calctype","read_ancovasource","read_calcmethod","read_imputemethod","justification","imbalance","read_comments","recalc_study","recalc_calctype","recalc_ancovasource","recalc_calcmethod","recalc_imputemethod","recalc_comments","extract_user","submitted_date","last_updated","is_draft"
"59","102","change score",NULL,"SMD with Hedges&#039; correction based on change scores and their sd.","unclear","link to Cochrane handbook","unclear, possibly randomized and non-randomized controlled trials included, ROB(-1) and PEDRO for bias assessment.",,"Spinks et al. 2007 (14 out of 16 from Fig 2)","change score",NULL,"SMD with Hedges&#039; correction based on change scores and change score sds","r = 0","Some original studies required transformation of the data from velocity to time. I could reproduce the transformation procedure for means only but not for the sd. Given the data from the within study analysis and using a study that originally reported data as time, I could verify the imputation procedure as r = 0 (which means sd_d = sqrt(sd_pre^2+sd_post^2).","SN","2025-06-16 13:55:27","2025-06-17 16:09:16","0"
"60","104","unclear",NULL,"SMD with Hedges&#039; correction",,"reference to the RevMan5 manual","randomized and non-randomized controlled trials included, but excluding trials that had significant baseline differences in the outcome measure. ROB(-1) for bias assessment.","The forest plots imply that post scores were used for the effect size calculation, but this is not stated in the main text or figure captions. The MA has open data and code.","Mikkola et al. 2012 (4 out of 21 from Fig. 3)","post-measures",NULL,"SMD (with Hedges&#039; correction and RevMan var estimator) based on post scores",,,"SN","2025-06-20 12:46:57","2025-06-20 13:16:01","0"
"61","105","unclear",NULL,"SMD (Hedges&#039; g) based on either change scores and their sd (for crossover trials, MA IV and V) or probably on post scores (MA I-III)","r = 0.5","reference to Hedges 1985","randomized and non-randomized controlled trials included, own tool for assessment of bias (which includes an item for randomization)","I hear use the MA I-III for further analysis, because they deal with the exact study design of interest. For the change score based MA, a imputed correlation of 0.5 is reported. Sensitivity analyses using only randomized studies and using different pre-post correlations (0.2, 0.8) are available (interestingly also for the MA that did not use imputation at all!?). Data and code available.","Thelwell &amp; Maynard 2003 (10 out of 11 from Fig 2)","post-measures",NULL,"SMD (Hedges&#039; correction)",,"could not reproduce CI for the ES, I think this is because of the clustering in the multi-level model. When I checked two ES for studies with only one outcome measure included, I could fully reproduce the ES with its CI.","SN","2025-06-20 13:28:59","2025-06-20 14:19:46","0"
"62","107","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores using raw score standardization","r = 0.5","references to Berkey et al. 1998 and Morris 2008","randomization unclear, but from the topic I assume that only non-randomized studies were included, TESTEX for bias assessment, but items regarding randomization were not considered.","The procedure described matches the ppc1 approach by Morris 2008 with a variance estimator from Becker 1988 (as outlined in the metafor tutorial). The MA has open data and code, which will certainly help during recalculation.","Romance et al. 2019 (3 out of 6 from Fig 2), initially the random number generator picked 4 (Dalgaard et al. 2022), but the study had multiple outcome measures included in the MA, so I chose the next with only a single outcome measure included.","change score",NULL,"SMD (with Hedges&#039; correction) with raw (= pre) score standardization (Morris ppc1 approach with Becker 1988 variance estimator).","r = 0.7","Contrary to the reporting, the MA used a correlation of 0.7 instead of 0.5 for imputation, as evidenced in the published analysis script and validated during the successful recalculation. The","SN","2025-06-20 14:48:10","2025-06-20 15:25:32","0"
"63","109","post-measures",NULL,"outcome measurements were evaluated by using the standardized mean difference (SMD). Hedges’ g was used to account for small sample size bias.",,"reference to Cochrane handbook for systematic reviews of interventions; 2021, when SMD was explained","Risk of Bias 2.0 Tool",,"Study 8 of 12 - Kirchenberger et al. (2021)","post-measures",NULL,"SMD, Hedges correction, based on post scores",,"recalculation succeeded as reported in the meta analysis","TS","2025-06-22 08:49:47","2025-06-22 09:26:06","0"
"64","113","change score",NULL,"SMD (with Hedges&#039; correction) as a standardized difference between within-group SMD, which are defined as mean-differences standardized by the pooled standard deviation (bias-corrected).","none","none","probably only RCTs included, ROB-2 for bias assessment","the MA provides detailed formulas for the ES point estimates, but there are some uncertainties in these.","Sinclair et al 2021 (20 out of 24 from Fig 3)","change score",NULL,"SMD based on change scores and the pooled pre-post SD","none","The ES calculation does treat the pre-post measurement as if they were independent groups, thus no correlation is imputed. The ES formula given in the MA text are incorrect.","SN","2025-06-23 10:19:50","2025-06-23 10:58:16","0"
"65","117","change score",NULL,"MD based on percentage changes and their sds","none, since all studies reported a measure of the variability of change","none","randomized and non-randomized controlled trials included, ROB(-1) for bias assessment","The article reports a second type of MA, investigating bone turnover markers using a SMD approach, but since this analysis is not reported in the abstract and its forest plots are online available in the supplementary material, this data extraction focuses on the primary MA.","(12 out of 16 from Fig 2)","change score",NULL,"MD of percentage change scores and their sd","none, because all studies reported sd or se of change (or related measures)","I checked for several studies that measures for the spread of change scores were indeed reported. The reporting of percentage change (+ variance) seems to be standard in this particular field (bone mineral density research). The recalculation was based on data extracted from a plot, so I got no perfect recalculation match.","SN","2025-06-23 13:10:57","2025-06-23 13:58:13","0"
"66","119","unclear",NULL,"SMD, possibly comparing the post scores of both groups/conditions",,"none, reference to an online calculator (which, among others, provides methods to calculate Hedges&#039; g effect sizes for paired t-tests).","unclear, although this was not a criterion all included studies had a cross-over design. PEDRO for bias assessment","crossover design for all included studies.","Cochrane 2013 (2 out of 19 from Fig 2)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores for repeated measurements (but using the d_repeated measures method, which has the sd of difference scores as the denominator and the standardizer 2*sqrt(1-r)). Possibly r = 0.5 for the repeated measures correlation, CI calculation unclear.",,"I could reproduce the ES points estimates when using the method described above. This is only valid because the study designs were all cross-over. I am quite sure that r is equal to or near 0.5 but cannot validate this, as I could not fully reproduce the CIs. When I use the SE given in the forest plot I could reproduce the CI given in the forest plot. But I don&#039;t know how to get the SE in the forest plot from the results of the online calculator the MA authors used.","SN","2025-06-23 14:00:46","2025-06-24 10:50:08","0"
"67","120","post-measures",NULL,"SMD based on post scores and their SD",,"none","only RCTs included, ROB(-1) for bias assessment","In some parts the text also mentioned change scores, but overall it appeared quite clear to me that the chosen approach is based on post-scores.","Asadi et al. 2017 (7 out of 28 from Fig 4)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sds, using the RevMan variance estimator",,"double counting of studies","SN","2025-06-24 10:59:41","2025-06-24 15:00:51","0"
"68","122","post-measures",NULL,"SMD of post scores",,"none","only RCTs included, MMAT for bias assessment","only aggregated findings are presented in the forest plots","Persoon et al. 2017  (2 out of 2 from the aggregated findings in forest plot S6 that have only one intervention arm)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sds",,"Only aggregated findings were presented in forest plots, so I had to select a subgroup that aggregated only one study. For the ES calculation, the MA used the baseline sample size instead of the actual post score sample size, which lead to minor discrepancies in the CI but not the ES point estimate.","SN","2025-06-24 14:55:45","2025-06-25 09:42:11","0"
