study_id,extraction_id,is_double,status,status_explanation,read_calctype,read_ancovasource,read_calcmethod,read_imputemethod,justification,imbalance,read_comments,recalc_study,recalc_calctype,recalc_ancovasource,recalc_calcmethod,recalc_imputemethod,recalc_comments,extract_user,submitted_date,last_updated,is_draft,recalc_imputemethod_result,calcmethod_code,hedges,standardizer,varestimator,reporting,error_extraction,error_extraction_note,error_calculation,error_calculation_note,error_reporting,error_reporting_note,further_observation
43,24,FALSE,,,unclear,NULL,"MD, but unclear based on what, maybe change score",,none,only RCTs included,"this is an umbrella review, but has a dedicated MA of RCTs. The effect size calculation method is very confusing: &quot;The absolute change in mean difference and standard deviation
of the outcome value from postintervention between groups (interval training versus MICT/CON) in each study was calculated&quot;. This could be both change-score based or post-score based. Maybe also change score with post score sd standardization?",Ballin et al. 2019 (18 out of 35 from Fig. 3),post-measures,NULL,MD (heterogenous variances),,"straightforward, but I find the caption of the forest plot misleading, as it states &quot;body fat percent reduction&quot; [EDIT AFTER REANALYSIS: verified that estimator for heterogenous variances was used]",SN,22.04.2025 16:00,22.04.2025 16:13,0,na,md_post,NA,post,hetero,incomplete,none,,none,,none,,
45,26,FALSE,,,unclear,NULL,"SMD (but unclear based on what, maybe post score)",,none,"unclear, modified own scale for quality assessment","The methods section presents an SMD formula that is very basic. An interesting find is that the CIs are reportedly based on a t-distribution (instead of the typical z-distribution)

[EDIT AFTER AUTHOR CONTACT: The authors declined to share data, but provided an analysis script with additional explanation, which helped for the recalculation]",Berton et al 2022 (3 out of 24 from Fig 2),change score,NULL,"First, calculation of separate within-group SMDs standardized by the change score sd and using a specific variance estimator (the metafor::escalc(method = &quot;SMCC&quot;) defaults). Second, subtracting the point effect estimates and adding the variances.",r = 0.5,"Frankly, I have no idea how the ES were calculated. The confidence intervals seem way to small. I tried change-score and post score based methods for three examples. Post-score seems more promising to me, but again I could not recalculate the ES.

[EDIT AFTER AUTHOR CONTACT: Using the script provided the authors I could reach a successful reproduction. The authors first calculate within-group ES and then combine them. However there is a mixing up of the standard error and the variance of the ES. The authors took the variance of the ES as its standard error in the analysis (although this issue is not present in the analysis script provided, it appears to be present in the analysis, given the published forest plots). This leads to far too narrow confidence intervals for all ES. Another finding is that a z-distribution was used to calculate the confidence intervals instead of the t-distribution that was mentioned in the article. I have uploaded an updated recalculation script]",SN,22.04.2025 16:27,27.10.2025 13:33,0,0.5,smcr_combined_mixup,TRUE,change,within,incomplete,none,,major,mixup between ES SE and var: the authors used the SE(ES) in their MA code although they would have needed to use the var(ES); incorrect combination of within group ES,minor,used CI based on z-distribution instead on the reported t-distribution,
47,23,FALSE,,,unreported,NULL,"SMD, but unclear based on what (the abstract and Fig 3 reads as if it is change-score based, but no confirmation in the text)",,none,"randomized and non-randomized trials included, PEDRO for bias assessment",not much documented here in the text,"Boff et al. 2019 (2 out of 3 from Fig 3a, because Fig 2 only deals with within-group changes)",change score,NULL,SMD based on change-scores (and change score sd) with Hedges&#039; correction. Also variance estimator by Borenstein &amp; Hedges 2019 and t-distribution based CIs.,r = 0,"I could fully reproduce the ES and CI but also after some digging and contacting the author of MedCalc. The software uses the vartype=2 estimator and t-distribution based CIs, which is both rather uncommon and undocumented in the software and also in this article.
Also, I tried to reproduce the imputation method, but only the third study tried (Alarcon-Gomez) did not report change score sd and thus needed imputation. The reproduced imputation (r=0) was noteworthy!",SN,22.04.2025 14:57,22.04.2025 18:07,0,0,smd_hedges_change_change_bh,TRUE,change,bh,incomplete,none,,none,,none,,
49,21,FALSE,,,change score,NULL,SMD based on change scores and their sds (probably RevMan default),"reference to Behringer, but unclear what exactly",reference to Behringer for imputation. SMD to combine different scales.,"RCTs and non-randomized studies included. PEDRO, ROB-2 and ROBINS for bias assessment.","I looked up the Behringer paper that is referenced: &quot;missing SD of changes from the baseline was imputed using a correlation coefficient, in which values from Behringer et al. (4) were used as reference&quot;. I could only find the following section that may be relevant: &quot;elative intraclass correlation coefficient (ICC) and absolute (SEM) test-retest reliability for baseline variables were as follows: MIF (ICC3.1 = 0.81 and SEM = 0.6 kN) and RFD (ICC3.1 = 0.85 and SEM = 2.6 kN$s21)&quot;","Kim et al 2016 (8 out of 8 from Fig 2, originally the random number generator took 7, Ferreira Jr. et al., but I could not retrieve the article so took the next ES).",change score,NULL,SMD based on change scores and their sd (with Hedges&#039; correction and RevMan default variance estimator),r = 0.84 for intervention and r = 0.87 for control,"I used two other examples to validate the actual imputation method used. I tried to recalculate the imputation values from the referenced Behringer paper, but did not succeed.",SN,22.04.2025 10:40,22.04.2025 11:45,0,0.84,smd_hedges_change_change_revman,TRUE,change,revman,incomplete,none,,none,,none,,
50,20,FALSE,,,unreported,NULL,"SMD (probably RevMan default, but unclear based on which values)",,none,"only RCTs included, ROB-2 for bias assessment","unclear for me if post- or change-score based. I lend towards post, but it is not described anywhere.","Jing et al. 2024 (3 out of 5 from Fig 3a; random number generator selected 2 [Bily et al.] but the Suppl S3 showed that the data was retrieved from author correspondence, so I used the next effect size for recalculation).",post-measures,NULL,SMD based on post scores (with Hedges&#039; correction and RevMan variance estimator),,"The study was in Chinese, but I could extract the data and reproduce the ES.",SN,22.04.2025 09:53,29.04.2025 14:44,0,na,smd_hedges_post_revman,TRUE,post,revman,incomplete,none,,none,,none,,
51,35,TRUE,,,change score,NULL,MD based on change scores and their sd,unreported,none,"only RCTs included, ROB(-1) for bias assessment",,"Li et al. 2020 (19 out of 27 from Fig. 3a, random number generator said 16, but this and the following studies could not be retrieved)",change score,NULL,MD based on change scores and their sd,r = 0.5,"I had troubles retrieving the original research studies underlying the MA. The first I could retrieve had raw data available, from which I could calculate the group means in the forest plot, but not the group sds. So there may be a data extraction error. Using the means and sds from the forest plot I could reproduce the ES. For the second study I could receive I had another issue, as I could match the mean and sd of the intervention but not the control group (so maybe another extraction error). For the third study everything worked, when imputing a pre-post correlation of r = 0.5.",SN/TS,28.04.2025 16:59,19.12.2025 12:34,0,0.5,md_change_change,NA,change,hetero,incomplete,unclear,,none,,none,,
52,36,FALSE,,,unreported,NULL,SMD,,none,"only randomized studies included, RoB-2 for bias assessment","It is not clear to me how the ES for the group comparison are constructed. The MA also includes within group analyses, but these are not of interest for us.",Yoshimoto et al. 2016 (18 out of 22 from Fig 4),change score,NULL,SMD (Hedges&#039; g) based on change scores and their SD (RevMan default for variance estimation),r = 0.25,"Using the means and sds from the forest plot, I could recalculate the ES and its CI. [EDIT AFTER REANALYSIS: I could determine the correlation imputation for many but not all SDs. There was one mixup of SE and SD. The within-group analysis using a between group SMD, but this is not of interest here. The MA often compares the same groups, once labelling group A INT and B CON and then the other way around. Effectively, many ES cancel each other out. This problem of selecting comparisons is severe]",SN,05.05.2025 11:49,05.05.2025 12:51,0,0.25,smd_hedges_change_change_revman,TRUE,change,revman,incomplete,major,SE/SD mixup,major,using the same comparison multiple times with reversed group labels,none,,
53,37,FALSE,unclear,recalculation not matching,unreported,NULL,SMD,,SMD (instead of MD) because studies used different measurement scales,"only RCTs included, PEDRO for bias assessment","Recalculation may be challenging, because individual study effect sized have to be extracted from the forest plot",Stergioulas et al. 2008 (2 out of 5 from Fig. 2),unclear,NULL,unclear,,"I could not recalculate the ES, because of a lack of available information. Study-level ES and their CI are only visually presented in a forest plot without any further information. I tried different studies, but often the recalculation was additionally complicated because it was unclear which time point and outcome measure was used for the MA.",SN,05.05.2025 12:37,05.05.2025 16:10,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
55,38,FALSE,,,unreported,NULL,SMD,,none,"RCTs and CTs included, PEDro for bias assessment",I could not locate any detailed information on the effect size calculation procedure.,Sermaxhaj et al. 2021 (75 out of 85 from Fig. 3),change score,NULL,"SMD based on change scores and their SD without Hedges&#039; correction (i.e., Cohen&#039;s d)",r = 0.5,"Might be only within groups, might be change score based. I reproduced one ES estimate by using a SMD of change scores standardized by pre-sds, but the same method did not work for the other cases, so it might have been by chance. The numbers for the CIs are not given in the forest plots and the quality is too low to extract them from the visual elements. But an earlier MA of the same group used the same ES and provided z-values, which could be back-calculated to SEs and thus CIs. I tried this for the one ES where I got a match for the point estimate, but could not reproduce the CI. Overall I can&#039;t tell what methods the MA use to determine the ES.

EDIT AFTER AUTHOR CONTACT:
The authors provided a raw data file with all effect sizes and their standard errors, as well as the underlying raw data. With the file, I could fully reproduce the calculation procedures. For the recalculation, I used ES that did not combine different outcomes of a single study, thus the uploaded original article is not the one initially randomly selected. I have updated the R code.",SN,05.05.2025 16:16,18.11.2025 11:57,0,0.5,smd_cohen_change_change,FALSE,change,cohen,missing,none,,none,,none,,
56,39,TRUE,,,change score,NULL,the mean difference (MD) after an exercise-based intervention compared with baseline values relative to the control condition,r=0.85,"reference to Wewege &amp; Jones 2011 for the correlation imputation: &quot;In concordance with Wewege &amp; Jones (2021), a conservative paired-samples correlation of 0.85 was set for both study conditions.&quot; I checked the MA by Wewege &amp; Jones, they base their imputation of 0.85 on a sample of studies that reported pre-post correlations.","theoretically randomized and non-randomized controlled trials included, in practice all but one were randomized; ROB-1 for bias assessment","Most included studies used a crossover design, double counting of control groups",Niwa et al. 2022 (3 out of 41 from Fig 2),change score,NULL,MD of change scores and their SD,r = 0.85,Perfect match when using rounded values (second study). I could not reproduce the data extraction for the first study. ,TS/SN,14.05.2025 17:34,17.12.2025 11:21,0,0.85,md_change_change,NA,change,hetero,complete,unclear,,none,,none,,
58,40,FALSE,,,unclear,NULL,SMD (Hedges&#039; g) or MD,,"SMD for variables measured on different scales, MD for variables measured on the same scale","randomized and non-randomized trials included, ROB-2 and ROBINS-I for bias assessment.","Some things are not clear from the text: The authors report to use MD for some outcomes, but the text and the forest plot also state that SMD were used for all outcomes. Also the text is not clear about which means and sds were used for the ES calculation, though the forest plots suggest that a change-score based method was used.",Stöggl et al. 2014c (1 out of 13 from Fig 4),change score,NULL,"SMD based on change scores and their sds (Hedges&#039; g, vartype=4)",none,"I have reanalyzed this MA before. I could reproduce the ES and its CI as a SMD based on change scores and their sds, but the sds were calculated based on pre and post sds without imputation a pre-post correlation using an incorrect procedure instead. I could determine this procedure only after contacting the authors. Without author contact, I would not have been able to reproduce the ES.",SN,15.05.2025 11:48,12.08.2025 09:59,0,incorrect,smd_hedges_change_change_meta,TRUE,change,meta,incomplete,none,,major,incorrect procedure for calculating change score sd,none,,
61,41,FALSE,,,change score,NULL,SMD based on change scores and their sd (MD for same scales),r = 0.7,"r = 0.7 as a conservative estimation, sensitivity analyses for r = 0.2 and r = 0.5 performed.","only RCTs included, TESTEX for bias assessment","In general well-reported, recalculation may be difficult because the article text does not provide a forest plot. The article reports that from the 5 significant analyses, only 1 remains significant in the sensitivity analysis (Tab. 4), but it is unclear which of the two sensitivity analyses performed was meant (different imputed r or the exclusion of a single studies). It is interesting that the authors consider their imputed value of 0.7 as &quot;conservative&quot;.",Opdenacker et al. 2011 (9 out of 10 from Fig S1),change score,NULL,SMD based on change scores and their SD,r = 0.7,"I could not reproduce the first ES, unclear why. When I tried the second, everything worked. It is unclear whether the Hedges&#039; correction was applied, because the sample size of the study was to large to make it relevant. [EDIT AFTER REANALYSIS: I could verify that the MA does not use Hedges' correction]",SN,15.05.2025 12:30,15.05.2025 13:20,0,0.7,smd_cohen_change_change,FALSE,change,cohen,incomplete,unclear,,none,,none,,
62,42,FALSE,,,unclear,NULL,SMD with Hedges&#039; correction,,Between group comparison is justified by referencing Cuipers. Borenstein is referenced for the use of Hedges&#039; correction to deal with small samples in sports science (reference to Abt).,"randomized and non-randomized controlled trials included, PEDro for bias assessment","For me it is not clear whether post or change scores were used for the ES calculation. The article does not present forest plots of individual studies, which may complicate the recalculation.","Paavolainen et al. 1999 (2 out of 5 studies of the sprint MA), see comment field for more details",change score,NULL,SMD with Hedges&#039; g based on changes scores standardized by post score SD (with Borenstein &amp; Hedges variance estimator),none,"No individual study level effect sizes are available, so it is not possible to perform a recalculation.

[EDIT AFTER AUTHOR CONTACT AND PROVISION OF RAW DATA:]
The authors provided raw data, but not the individual study effect sizes. But the raw data was provided together with another study of the same first author (#086) and it is reasonable to assume that the same effect size 
calculation method was used. I therefore try to recalculate the full MA with the smallest number of studies (Sprint, Fig 5). I also verified that the data from one randomly selected individual study matches the provided raw data. Using the full raw data, I could fully recalculate the sprint MA (pooled point ES and CI), thereby validating that the calculation procedure for individual effect sizes was correct. I have updated the R code and added the original study checked.",SN,15.05.2025 14:47,12.11.2025 16:41,0,na,smd_hedges_change_post_bh,TRUE,post,bh,incomplete,none,,none,,none,,
63,43,FALSE,,,change score,NULL,SMD based on change scores,r = 0.630,correlation informed from previous studies of the effect of exercise on cognition in children (Ortega et al. 2022).,"only RCTs included, PEDro for bias assessment",,Shen et al. 2020 (6 out of 7 from Fig S1),change score,NULL,"SMD based on change scores and their sd, without Hedges&#039; correction",r = 0.630,perfect recalculation match with the first try,SN,15.05.2025 15:06,15.05.2025 15:22,0,0.63,smd_cohen_change_change,FALSE,change,cohen,incomplete,none,,none,,none,,
64,44,FALSE,,,unreported,NULL,MD,,none,"randomized and non-randomized controlled trials included, ROB-2 for bias assessment","for me it is unclear whether the calculated MD is based on the post or on the change scores. I suppose it is change-score based, but this is not written anywhere in the text.",Thomas &amp; Burns 2016 (13 out of 14 from Fig. 3A),change score,NULL,MD based on change scores and their sd,r = 0,"Straightforward recalculation, I had to use a second study to determine the imputation procedure, because the first reported change score sds",SN,16.05.2025 08:17,16.05.2025 08:43,0,0,md_change_change,NA,change,hetero,incomplete,none,,none,,none,,
65,45,FALSE,,,change score,NULL,SMD,unclear,none,"only RCTs included, ROB(-I) for bias assessment","This is a network-MA, so it is not totally clear if our analysis methods are applicable here. S6 presents some forest plots of direct comparisons, so they may be useful for recalculation (however they present no numbers)",Yoon et al. 2018 (13 out of 13 from Fig S6 upper left column),change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their sd,r = 0.5,"The study for recalculation taken from the forest plot could not be found in the references of the article or the supplementary materials but had to be found from the available information using web search. The ES data had to be extracted from the forest plot. Match was not perfect, but I think this is because of the uncertainty in the extraction process.",SN,16.05.2025 09:55,16.05.2025 10:16,0,0.5,smd_hedges_change_change,TRUE,change,unclear,incomplete,none,,none,,none,,
68,46,FALSE,,,change score,NULL,MD based on change scores,unclear,none,"only RCTs included, ROB-2 for bias assessment",,Winding et al. 2018 (13 out of 13 from Fig 3a),change score,NULL,MD based on change scores and their sd,r = 0.5,Worked perfectly,SN,16.05.2025 10:21,16.05.2025 10:34,0,0.5,md_change_change,NA,change,hetero,incomplete,none,,none,,none,,
75,47,FALSE,,,change score,NULL,MD of change scores,not specified (&quot;Using a correlation coefficient from previous studies&quot;),Reference to cochrane for using previous studies for correlation imputation (but no reference to these previous studies or mentioning of the parameter value),"only RCTs included, ROB-2 for bias assessment","The text implies the use of a change-score based ES, though this is not explicitly written anywhere. The MA uses a Bayesian network MA which may be impossible to use for recalculation. But to me it seems that there is also a (&quot;traditional&quot;) pairwise MA in the article, which would fit our analysis design and could be used for reanalysis.",,post-measures,NULL,MD based on post measures and post SD,,"While pairwise MA are part of the article, the study level outcomes of these (e.g., forest plots with individual study ES) are not part of the article or the supplemental material. Thus, it is not possible to perform a recalculation.

[EDIT AFTER AUTHOR-CONTACT:]
The authors provided the forest plots with study-level effect sizes for the pairwise MA. Using the provided data, I could recalculate the ES and CI, but the first study selected had a mistook the SE for SD. I have uploaded an R script and the original study PDF.",SN,16.05.2025 10:43,03.12.2025 11:08,0,na,md_post_post,NA,post,hetero,incorrect,major,"SE/SD mixup, incorrect SE extracted",none,,major,"study reported to use change score SD with imputation, but used post scores (and post score SD) instead",
79,48,FALSE,,,change score,NULL,MD based on change scores and their sd,unclear (&quot;a correlation coefficient from one study was calculated to impute the SD&quot;),reference to Cochrane for using previous study for correlation imputation,"only RCTs included, ROB-2 for bias assessment","MD is not explicitly written in the methods, but in all plots and the results.",Yilmaz Gokmen et al. 2019 (5 out of 6 from Fig 2A),change score,NULL,MD based on change scores and their sd,r = 0.5,"There was a small data extraction error for one variable in the recalculated ES (mean change in CON was 2.32 but reported as 2.68). The imputed correlation was 0.5, which is interesting as the authors said they used a correlation informed from previous studies.",SN,16.05.2025 10:57,16.05.2025 11:13,0,0.5,md_change_change,NA,change,hetero,incomplete,minor,incorrect mean extracted,none,,none,,
80,49,FALSE,,,change score,NULL,SMD or MD based on change scores,none,SMD or MD based on whether the same scale was used for the outcomes,"randomized and non-randomized controlled trials included, JBI Critical Appraisal Checklist for Randomized Controlled Trials &amp; JBI Critical Appraisal Checklist for Non-Randomized Controlled Trials for bias assessment",,Rawson et al. 2019 (3 out of 3 from Fig 2a),change score,NULL,MD based on change scores,unclear,"The MA appears to have extracted the data from the study selected for recalculation using figures, although the study presents numbers in the supplemental materials. There also appears one data extraction error (wrong sign of mean change score). When using the other studies of the forest plot instead, I could recalculate the mean change scores presented in the forest plot, but not the change score sd. The MA authors may have used an unusual procedure for calculation, I tried different things but my sd estimates were all off; the presented change score sd is very small. Taking the values from the forest plot I could recalculate the ES and CI. Also the MA mixes different measures, e.g., for two studies it takes the PDQ-39 total score (no subscales reported), but for another it takes a subscale (despite also total reported).",SN,16.05.2025 11:25,16.05.2025 12:19,0,unclear,md_change_change,NA,change,hetero,incomplete,minor,incorrect mean extracted,major,unclear method to calculate change sd,none,,
85,50,FALSE,,,post-measures,NULL,MD of post scores (but depending on the measure change scores were used instead),,post score or change score depending on the availability of data,"for the MA only RCTs were included, ROB-2 for bias assessment in RCTs","For the outcomes VO2max and shuttle run performance, post-score based ES were used (see caption of Fig 2,3). For resting heart rate, change-score based ES were used. I categorized the MA as &quot;post-score based&quot;, since most analyses, the analysis for the primary outcome, and most individual studies were analyzed using post scores.",Zhou et al. 2019 [SPE + ASE] (5 out of 5 from Fig. 2),post-measures,NULL,MD of post scores,,"The particular study used for recalculation had one issue and one extraction error: The issue was that they did not report post values, but only pre and change means and sds. The MA used the calculated post means with the pre sd, which is only appropriate under additional assumptions. The error in data extraction was that the MA reported a sample size of 180 for CON, but the actual sample size was 168.",SN,16.05.2025 14:09,16.05.2025 14:32,0,na,md_post,NA,post,hetero,incomplete,minor,incorrect sample size extracted,none,,none,,
86,51,FALSE,,,unclear,NULL,SMD with Hedges&#039; correction,,Between group comparison is justified by referencing Cuipers. Borenstein is referenced for the use of Hedges correction to deal with small samples in sports science (reference to Abt).,"randomized and non-randomized controlled studies included, PEDro for bias assessment",For me it is not clear whether post or change score values were used for the ES calculation.,Kelly et al. 2008 (2 out of 5 from Fig2 that are based on one ES),change score,NULL,SMD with Hedges&#039; g based on changes scores standardized by post score SD (with Borenstein &amp; Hedges variance estimator),none,"It was not possible to get a matching reproduction, this may be in part because the ES data is only visually presented in the forest plot and had to be manually extracted. For 2 out of the 3 studies I tried to recalculate, I got almost perfectly the ES and with a slight deviation the CI when using SMD based on change scores and their sd imputed with r=0.5. For the other study (2) I did not get anywhere to the ES depicted in the forest plot. For one study (3) there was a minor data extraction error, with INT pre sd in MA as 3.1 but originally 3.2. For one study (1) there was an error in the original data presentation, because the mean change in INT did not match the difference of means. Overall, I could not really recalculate the ES, but this may be in part explained by the fact that the ES values had to be extracted.

[EDIT AFTER AUTHOR CONTACT]:
The authors provided raw data. After that I could perfectly recalculate the ES extracted from the forest plot when using a post-score SD standardization and fixing my own data extraction error (SE/SD mixup) for one ES (that was also present in a table of the MA). I have updated the R code.",SN,16.05.2025 15:11,12.11.2025 15:56,0,na,smd_hedges_change_post_bh,TRUE,post,bh,incomplete,none,,none,,none,,
87,52,FALSE,,,unclear,NULL,SMD (Hedges&#039; g) and MD,,"SMD if different scales are used, otherwise MD","only RCTs included, PEDro scale for bias assessment","It is unclear whether the MA uses post or change score. To me it rather seems like change scores we used, but it is not clear from reading.",Van Puymbroeck et al. 2018 (7 out of 11 from Supplemental Materials Forest Plot for Analysis 1.1),post-measures,NULL,SMD (Hedges&#039; g with default RevMan variance estimator) based on post scores and their sd,,"Perfect match when using the values rounded to one decimal. The original study provided values rounded to two decimals, when these are used for the calculation, the ES and CI is minimally off.",SN,22.05.2025 16:22,22.05.2025 16:39,0,na,smd_hedges_post_revman,TRUE,post,revman,incomplete,none,,none,,none,,
89,53,FALSE,unclear,recalculation not matching,change score,NULL,SMD (Hedges&#039; g) probably based on change scores,r = 0.7,"reference to Hedges for SMD, reference to Rosenthal for imputation.","possibly randomized and non-randomized trials included (but this is not stated), PEDro for bias assessment","The authors do not explicitly mention that they used change scores for their ES. But they report to impute a correlation, which implies the use of change scores. Also for one MA the authors use combined ES, i.e., they combine the ES of multiple outcomes to one single ES for the study. I&#039;ll use the second MA instead for the recalculation, because it focuses only on one outcome (VO2max).",Portal et al. 2011 (7 out of 9 from Fig 4A),unclear,NULL,"possibly change-score based, but could not recalculate",,"I tried four studies but could not recalculate any ES. The nearest I got was with the Morris method, but only one almost perfect match for ES (CI near). I don&#039;t know what the issue is.",SN,23.05.2025 12:50,23.05.2025 13:46,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
90,54,TRUE,,,change score,NULL,SMD based on change scores,r = 0.5,link to Cochrane for the imputation formula to convert pre-post correlation to change score sd,"only RCTs included, ROB-2 for bias assessment","the main focus of the article is a moderator analysis (a meta-regression). However, the article also has classic MAs comparing two groups. For many included studies more than one outcome is reported, so we have to see what data we can use for the recalculation. // Random-effects meta-analysis was registered changed into robust variance estimation 3-level mixed effects","Kraemer et al. 2001 (24 out of 57 from Fig 4), but later used Kraemer et al. 2004 instead because data was presented in a table",change score,NULL,SMD (Hedges&#039; g) based on change scores and their standard deviation.,r = 0.5,"I had to use another study for recalculation that reported the parameters in a table. I could perfectly reproduce the imputation procedure, ES, and CI, but the MA authors mistook the ES var for the ES SE (I believe for all ES in the MA). This leads to overly narrow CIs, since var(ES) &lt; SE(ES) for var(ES) &lt; 1.",SN/RR,23.05.2025 18:46,19.12.2025 12:49,0,0.5,smd_hedges_change_change_metafor_mixup,TRUE,change,metafor,incomplete,none,,major,mixup between ES SE and var: the authors used var�(ES) instead of var(ES) for their CI calculation,none,,
92,55,TRUE,,,change score,NULL,SMD (Hedges&#039; g) probably based on change scores,unclear,none,"randomized and non-randomized controlled trials included, ROB-2 and TesTex for bias assessment","change score SMD is not explicitly written, but the article says &quot;Preintervention and postintervention mean &amp; SDs for a given outcome from the intervention and control groups were converted to Hedges’ g ES.&quot; which implies it. // Using Change scores as the effect size calculation method was not clearly stated. The caption of Fig 3 says &quot;changes in pain intensity ...&quot;, together with the description of the data analysis, I assume it is change score based.",Cuesta-Vargas et al. (2011) (8 out of 10 from Fig 3),change score,NULL,"SMD with Hedges' correction based on change score and post score SD, Borenstein & Hedges variance estimator",r = 0.5,"Both researchers independently evaluating the study could not reproduce the ES, but working together they could determine and verify the actual calculation procedure",SN/TS,27.05.2025 10:34,19.12.2025 12:42,0,0.5,smd_hedges_change_post_bh,TRUE,post,bh,incomplete,none,,none,,none,,
95,56,TRUE,,,change score,NULL,MD of change scores (or post scores if no change scores are available),unclear,Reference to Cochrane Handbook that post scores and change scores would be the same on average . No imputation method was reported.,"only RCTs included, ROB-2 for bias assessment","Mean difference is used for angle measurements,  SMD is used for ground reaction forces. We use MD as this seems to be the primary outcome, according to the abstract.","Study 4 of 7 - McCurdy et al 2012  SL DVJ (Forest Plot, Suppl. Fig. S1)",post-measures,NULL,"Mean difference of post scores, no variance homogeneity",,"The study (McCurdy et al) mentioned that only 27 participants took part, but it is not transparent in which group there were drop outs. Therefore, I used the number of participants that were given in the abstract of the study. // The study I used for recalculation provided post and change scores (both with SD), but the MA used the post scores, contrary to what the MA method section says. The MA mixes post and change scores. // Therefore we go with post-scores as the calculation methods and label this as a reporting error",TS/SN,30.05.2025 21:50,17.12.2025 11:28,0,na,md_post_post,NA,post,hetero,incorrect,none,,none,,major,"study mixes post and change scores and reportedly with change scores prefered, but actually prefered post scores",
96,57,TRUE,unclear,no effect sizes available for recalculation,change score,NULL,SMD based on change scores and their SD,r=0.5,"SMD to compare measures among different scales, correlation imputation with reference to Cochrane handbook","RCTs as an inclusion criterium, Cochrane Risk of Bias Tool used",Network Meta Analysis - did not report individual ES,not applicable as there is no individual study data,NULL,NULL,-,,"From reading the manuscript, this appears to be a comtrast-based NMA, potentially with additional pairwise analyses. However, the MA does not present any individual effect sizes in its manuscript and supplemental documents. Therefore, it was not possible for me to perform a recalculation.",TS/SN,08.06.2025 20:33,17.12.2025 11:31,0,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,unclear,,unclear,,
101,58,TRUE,,,change score,NULL,SMD (with Hedges&#039; correction) based on change scores and post-score SD,"na, based on post score SD",none,"randomized and non-randomized controlled studies, PEDro scale for bias assessment",forest plots seems to include double counting of control groups,"Negra et al. (2020) - (18 of 21, Figure 2)",change score,NULL,SMD (with Hedges&#039; correction) based on change scores standardized by post-score SD (with Borenstein variance estimator),none,,TS/SN,09.06.2025 10:21,17.12.2025 11:34,0,na,smd_hedges_post_bh,TRUE,post,bh,complete,none,,none,,none,,
102,59,FALSE,,,change score,NULL,SMD with Hedges&#039; correction based on change scores and their sd.,unclear,link to Cochrane handbook,"unclear, possibly randomized and non-randomized controlled trials included, ROB(-1) and PEDRO for bias assessment.",,Spinks et al. 2007 (14 out of 16 from Fig 2),change score,NULL,SMD with Hedges&#039; correction based on change scores and change score sds,r = 0,"Some original studies required transformation of the data from velocity to time. I could reproduce the transformation procedure for means only but not for the sd. Given the data from the within study analysis and using a study that originally reported data as time, I could verify the imputation procedure as r = 0 (which means sd_d = sqrt(sd_pre^2+sd_post^2).",SN,16.06.2025 13:55,17.06.2025 16:09,0,0,smd_hedges_change_change,TRUE,change,revman,incomplete,unclear,,none,,none,,
104,60,FALSE,,,unclear,NULL,SMD with Hedges&#039; correction,,reference to the RevMan5 manual,"randomized and non-randomized controlled trials included, but excluding trials that had significant baseline differences in the outcome measure. ROB(-1) for bias assessment.","The forest plots imply that post scores were used for the effect size calculation, but this is not stated in the main text or figure captions. The MA has open data and code.",Mikkola et al. 2012 (4 out of 21 from Fig. 3),post-measures,NULL,SMD (with Hedges&#039; correction and RevMan var estimator) based on post scores,,,SN,20.06.2025 12:46,20.06.2025 13:16,0,na,smd_hedges_post_revman,TRUE,post,revman,incomplete,none,,none,,none,,
105,61,FALSE,,,unclear,NULL,"SMD (Hedges&#039; g) based on either change scores and their sd (for crossover trials, MA IV and V) or probably on post scores (MA I-III)",r = 0.5,reference to Hedges 1985,"randomized and non-randomized controlled trials included, own tool for assessment of bias (which includes an item for randomization)","I hear use the MA I-III for further analysis, because they deal with the exact study design of interest. For the change score based MA, a imputed correlation of 0.5 is reported. Sensitivity analyses using only randomized studies and using different pre-post correlations (0.2, 0.8) are available (interestingly also for the MA that did not use imputation at all!?). Data and code available.",Thelwell &amp; Maynard 2003 (10 out of 11 from Fig 2),post-measures,NULL,SMD (Hedges&#039; correction),,"could not reproduce CI for the ES, I think this is because of the clustering in the multi-level model. When I checked two ES for studies with only one outcome measure included, I could fully reproduce the ES with its CI.",SN,20.06.2025 13:28,20.06.2025 14:19,0,na,smd_hedges_post,TRUE,post,metafor,incomplete,none,,none,,none,,
